,Date,LocationID,PU_passenger,PUTripDistance_count,PickUp_count,PU_fare,DO_passenger,DOTripDistance_count,DO_fare,DropOff_count
198,2020-10,4,2162.0,5371.77,1669,25548.59,10939.0,21360.64,93065.63,7813
199,2020-10,12,464.0,1496.1,297,5544.16,748.0,1850.52,7163.71,472
200,2020-10,13,9203.0,26362.9,6481,100613.45,11937.0,35715.47,133135.67,8307
201,2020-10,24,10502.0,17762.01,7362,83074.24,11587.0,20189.62,89935.65,8063
202,2020-10,41,16292.0,27556.21,11568,1131639.15,25129.0,51089.2,224917.66999999998,17858
203,2020-10,42,8244.0,19760.95,6176,92516.86,19289.0,55980.05,1230251.1,14015
204,2020-10,43,49890.0,67580.39,32510,329274.24,35879.0,46007.21,226513.68,23973
205,2020-10,45,2305.0,7146.93,1721,30410.36,4654.0,12160.01,50255.53,3318
206,2020-10,48,64646.0,102681.42,45233,464620.49,56613.0,76834.4,370085.59,39820
207,2020-10,50,16757.0,29115.989999999998,11887,131450.41,26652.0,39304.38,183339.8,18760
208,2020-10,68,48952.0,84935.88,34845,385989.19,47088.0,66235.8,316310.65,32982
209,2020-10,74,17064.0,33321.31,12333,153997.31,31547.0,65067.85,279001.66,22502
210,2020-10,75,36023.0,65103.32,25981,300564.17,50392.0,184997.16,382936.79,35946
211,2020-10,79,52807.0,91508.19,36643,399796.17,45835.0,76225.39,340861.07,31841
212,2020-10,87,10064.0,30606.95,7217,116290.24,12314.0,37482.02,140684.81,8808
213,2020-10,88,5668.0,19560.26,4011,70478.98,5689.0,18443.78,65149.73,3919
214,2020-10,90,46657.0,71703.84,33193,335994.73,35600.0,50012.62,237182.57,25335
215,2020-10,100,39693.0,65580.23,28480,301123.29,29966.0,38012.92,194050.21,21256
216,2020-10,107,56043.0,88256.99,39740,410429.7,46534.0,67363.78,316988.78,33050
217,2020-10,113,35119.0,96635.70999999999,24489,253876.25,29528.0,44211.31,208172.78,21066
218,2020-10,114,24262.0,139248.49,16314,176632.12,19700.0,31037.62,143494.11,13676
219,2020-10,116,4266.0,10875.4,3143,46779.06,9706.0,30957.34,120651.5,6967
220,2020-10,120,25.0,152.11,19,533.1,77.0,544.48,1772.5,66
221,2020-10,125,9269.0,16679.53,6508,72843.72,7839.0,13891.550000000001,61477.6,5476
222,2020-10,127,402.0,1680.74,315,7608.23,2112.0,13058.17,43663.48,1552
223,2020-10,128,55.0,447.99,49,1656.13,147.0,967.6700000000001,3313.13,122
224,2020-10,137,43202.0,80497.97,31209,352071.93,39855.0,61748.24,288127.35,28881
225,2020-10,140,64879.0,121115.98,47178,555495.23,58628.0,193429.62,447050.08,42382
226,2020-10,141,78449.0,110296.64,56063,534640.29,76527.0,95552.37,488313.97,53904
227,2020-10,142,73777.0,287489.05000000005,52029,518818.56,66445.0,87697.09,427461.59,46767
228,2020-10,143,34695.0,52194.9,24430,248106.65,39549.0,56132.25,270776.88,27856
229,2020-10,144,14675.0,26529.87,10065,119005.93,15994.0,28366.98,131491.79,11035
230,2020-10,148,13703.0,28254.18,9473,117579.2,15483.0,29172.29,132866.31,10784
231,2020-10,151,35586.0,55575.84,24937,263908.75,32164.0,49624.39,232197.69,22512
232,2020-10,152,3018.0,6533.23,2167,29537.5,5719.0,13831.27,58279.76,4049
233,2020-10,153,125.0,696.45,111,3010.38,228.0,1557.6200000000001,5890.7,184
234,2020-10,158,12099.0,20608.92,8323,92831.78,17975.0,28910.93,132058.2,12560
