,Unnamed: 0,Date,PU_passenger,PUTripDistance_count,PickUp_count,PU_fare,PUT_fare,LocationID,DO_passenger,DOTripDistance_count,DropOff_count,DO_fare,DOT_fare,Year
150,401,2021-01-02,506.0,802.46,345,3538.06,5398.0,114,414.0,862.31,286,3421.73,5143.62,2021
151,403,2021-01-02,117.0,314.28000000000003,95,1293.19,1576.9,116,288.0,860.45,196,3258.96,4141.65,2021
152,406,2021-01-02,1.0,0.0,1,58.2,65.12,120,1.0,18.92,2,64.99000000000001,71.84,2021
153,411,2021-01-02,194.0,354.65,138,1477.29,2224.41,125,141.0,403.94,105,1452.7,2053.04,2021
154,413,2021-01-02,5.0,47.84,8,222.35,267.33,127,67.0,464.42,47,1370.68,1701.01,2021
155,414,2021-01-02,1.0,9.15,2,56.040000000000006,60.39,128,2.0,30.03,4,99.98,120.43,2021
156,423,2021-01-02,733.0,1326.37,524,5607.42,8374.58,137,769.0,1316.32,553,5560.28,8608.06,2021
157,426,2021-01-02,871.0,1593.37,649,6721.32,10061.22,140,900.0,1624.57,620,6619.06,10142.82,2021
158,427,2021-01-02,1448.0,2007.56,1010,8615.21,13815.77,141,1403.0,2163.16,1000,9199.59,14582.54,2021
159,428,2021-01-02,1647.0,2438.08,1126,11076.69,16993.25,142,1450.0,2439.25,997,10290.55,15932.05,2021
160,429,2021-01-02,738.0,1058.3,484,4853.7,7391.44,143,795.0,1477.86,580,6144.25,9515.37,2021
161,430,2021-01-02,363.0,679.08,251,2879.33,4196.02,144,435.0,883.73,294,3777.76,5431.14,2021
162,434,2021-01-02,267.0,562.93,183,2386.02,3320.0,148,357.0,887.28,248,3428.47,4870.76,2021
163,437,2021-01-02,901.0,1276.21,603,5863.02,8028.820000000001,151,809.0,1375.99,549,5876.52,8355.1,2021
164,438,2021-01-02,67.0,157.14,55,697.83,823.08,152,127.0,379.59,95,1452.9,1836.02,2021
165,439,2021-01-02,1.0,8.52,3,52.03,62.23,153,6.0,57.81,6,182.0,216.87,2021
166,443,2021-01-02,259.0,471.18,173,2037.37,2998.26,158,393.0,781.66,272,3113.6,4674.56,2021
167,446,2021-01-02,1062.0,1593.91,692,7265.84,10831.14,161,971.0,1110.72,595,5685.07,8602.66,2021
168,447,2021-01-02,1102.0,1685.83,749,7383.84,11435.97,162,719.0,1036.41,513,4697.63,7374.74,2021
169,448,2021-01-02,935.0,1358.49,622,6444.94,9668.37,163,837.0,1190.39,553,5457.31,8360.76,2021
170,449,2021-01-02,796.0,1241.48,541,5784.06,8652.03,164,706.0,1190.42,471,5395.04,8023.320000000001,2021
171,451,2021-01-02,349.0,698.94,269,3017.94,3951.74,166,460.0,1061.7,308,4022.07,5472.21,2021
172,455,2021-01-02,1261.0,1954.73,858,8689.58,13238.6,170,1208.0,1998.64,823,8517.65,13263.01,2021
173,466,2021-01-02,1841.0,3660.62,1301,15940.28,23199.05,186,834.0,1108.23,555,5251.59,8069.94,2021
174,473,2021-01-02,24.0,79.24,15,384.42,545.99,194,41.0,93.21,21,429.07,666.62,2021
175,480,2021-01-02,2.0,13.6,4,58.6,77.44,202,37.0,210.78,29,701.93,874.3199999999999,2021
176,485,2021-01-02,106.0,233.83,59,894.67,1226.68,209,101.0,306.05,62,1097.23,1521.41,2021
177,487,2021-01-02,312.0,529.98,226,2440.25,3616.15,211,419.0,761.83,277,3292.16,4795.0,2021
178,499,2021-01-02,108.0,252.73,81,1022.7,1487.69,224,292.0,475.77,180,2024.01,3039.85,2021
179,504,2021-01-02,979.0,1353.15,675,5901.17,9412.49,229,1098.0,1640.78,758,7275.77,11483.83,2021
180,505,2021-01-02,886.0,1385.93,550,6099.71,8912.57,230,723.0,1165.72,485,5317.37,7837.81,2021
181,506,2021-01-02,463.0,904.97,323,3877.69,5422.5,231,514.0,1555.19,374,5730.26,8018.68,2021
182,507,2021-01-02,40.0,221.17,50,951.53,1188.12,232,348.0,1050.79,262,4149.96,5635.51,2021
183,508,2021-01-02,538.0,909.08,375,3663.23,5654.4400000000005,233,655.0,1197.29,478,5090.68,7836.55,2021
184,509,2021-01-02,1289.0,1848.59,889,8690.02,13473.94,234,1104.0,1758.09,721,7572.33,11730.37,2021
185,511,2021-01-02,1960.0,2521.26,1352,11720.89,18546.11,236,2041.0,2886.23,1400,12676.34,20095.58,2021
186,512,2021-01-02,1921.0,2432.36,1342,11508.7,18310.02,237,1660.0,2090.6,1167,9739.48,15699.79,2021
187,513,2021-01-02,1432.0,2112.68,981,9332.61,14041.72,238,1469.0,2334.1,976,9832.18,15206.49,2021
188,514,2021-01-02,1796.0,2438.32,1185,10962.63,17195.13,239,1559.0,2579.25,1056,10559.23,16581.23,2021
189,517,2021-01-02,23.0,57.27,17,420.22,470.71,243,136.0,785.26,99,2520.99,3105.81,2021
190,518,2021-01-02,107.0,280.61,74,1129.42,1365.13,244,337.0,1568.51,228,5045.7,6269.01,2021
191,519,2021-01-02,668.0,1122.6,424,4800.77,6985.0,246,789.0,1067.87,493,4936.23,7464.85,2021
192,522,2021-01-02,1025.0,1454.17,657,6370.3,9905.98,249,850.0,1457.6,553,6057.48,9290.93,2021
193,532,2021-01-02,225.0,587.21,140,2174.27,2932.81,261,172.0,568.85,134,1986.25,2779.85,2021
194,533,2021-01-02,691.0,1076.44,482,4801.63,7410.55,262,862.0,1637.07,605,6556.79,10138.62,2021
195,534,2021-01-02,1365.0,2047.6,985,8822.77,13757.64,263,1330.0,2381.44,944,9454.64,15047.16,2021
196,539,2021-01-03,26.0,100.63,23,472.94,624.08,4,204.0,790.81,149,2641.75,3879.15,2021
197,544,2021-01-03,6.0,6.91,3,27.5,44.04,12,7.0,8.74,5,39.0,64.44,2021
198,545,2021-01-03,84.0,265.78,59,1020.41,1437.0,13,143.0,772.02,102,2363.23,3141.08,2021
199,555,2021-01-03,189.0,325.13,136,1407.36,2018.75,24,225.0,425.62,145,1668.01,2356.9700000000003,2021
200,569,2021-01-03,295.0,409.32,206,2113.69,2651.89,41,516.0,1175.13,365,4656.76,6147.83,2021
201,570,2021-01-03,92.0,341.39,99,1527.01,1842.26,42,293.0,1237.1,251,4426.29,5592.32,2021
202,571,2021-01-03,664.0,929.66,439,4048.54,6255.29,43,493.0,790.4,346,3249.19,4995.28,2021
203,573,2021-01-03,40.0,140.93,30,546.86,692.75,45,94.0,281.36,75,1166.95,1530.72,2021
204,575,2021-01-03,980.0,1852.04,694,7372.71,11228.74,48,943.0,1582.97,656,6488.07,10163.03,2021
205,577,2021-01-03,240.0,375.96,168,1612.42,2385.08,50,463.0,1002.61,338,3917.78,5924.2,2021
206,590,2021-01-03,962.0,1833.06,704,7590.65,11369.84,68,784.0,1478.51,554,5834.82,8953.78,2021
207,596,2021-01-03,361.0,786.26,294,3463.83,4363.25,74,530.0,1382.79,423,5439.6,7064.93,2021
208,597,2021-01-03,616.0,1074.78,472,4431.45,6037.56,75,820.0,1573.12,594,6103.69,8702.15,2021
209,601,2021-01-03,587.0,85890.95999999999,438,4374.72,6584.16,79,728.0,2220.73,541,7907.85,11476.2,2021
210,608,2021-01-03,107.0,395.34,79,1586.71,2099.67,87,182.0,970.45,136,3069.39,4144.93,2021
211,609,2021-01-03,45.0,147.94,35,518.0,697.38,88,66.0,269.41,43,841.5,1086.67,2021
212,611,2021-01-03,679.0,1157.38,525,4951.53,7651.83,90,563.0,1329.27,411,4905.68,7458.94,2021
213,619,2021-01-03,533.0,1162.14,390,4532.13,6580.9800000000005,100,404.0,530.23,269,2357.14,3623.54,2021
214,623,2021-01-03,616.0,1119.79,466,4541.48,6960.97,107,722.0,1640.68,523,6214.16,9519.69,2021
215,625,2021-01-03,381.0,537.7,278,2547.47,3969.55,113,390.0,942.97,281,3535.51,5300.57,2021
